primarykey	title	comments	secondary_outpatient	secondary_inpatient	primary_care	source_bse	source_ase	source_eacvi	source_consensus	keywords	contexts
277	Routine surveillance (gtorequal 5 y after valve implantation) of bioprosthetic valve if no known or suspected valve dysfunction on post operative scan (excludes TAVI)		indicated	indicated	indicated	0	0	0	0		Valve
278	Evaluation of prosthetic valve with suspected dysfunction or a change in clinical status or cardiac exam		indicated	indicated	not_indicated	0	0	0	0		Valve
279	Re-evaluation of known prosthetic valve dysfunction when it would change management or guide therapy		indicated	indicated	not_indicated	0	0	0	0		Valve
280	Suspected cardiac mass		indicated	indicated	not_indicated	0	0	0	1		Cancer
281	Suspected pericardial disease		indicated	indicated	not_indicated	0	0	0	0		Pericardial ; Cancer
282	"Evaluation of the ascending aorta in the setting of a known or suspected connective tissue disease or genetic condition that predisposes to aortic aneurysm or dissection (e.g., Marfan syndrome)"		indicated	indicated	indicated	0	0	0	0		ICC ; Arterial
283	Re-evaluation of known ascending aortic dilation or history of aortic dissection to establish a baseline rate of expansion or when the rate of expansion is excessive		indicated	indicated	not_indicated	0	0	0	0		Arterial
284	Re-evaluation of known ascending aortic dilation or history of aortic dissection with a change in clinical status or cardiac exam or when findings may alter management or therapy		indicated	indicated	not_indicated	0	0	0	0		Arterial
285	Routine re-evaluation for surveillance of known ascending aortic dilation or history of aortic dissection without a change in clinical status or cardiac exam when findings would not change management or therapy (excludes bicuspid aortic valve related disease)		can_be_considered	not_indicated	not_indicated	0	0	0	0		Arterial
286	Routine re-evaluation of systemic hypertension without symptoms or signs of hypertensive heart disease		not_indicated	not_indicated	not_indicated	0	0	0	0		Systemic
287	Re-evaluation of known hypertensive heart disease without a change in clinical status or cardiac exam		not_indicated	not_indicated	not_indicated	0	0	0	0		Systemic
288	To determine candidacy for ventricular assist device		indicated	indicated	not_indicated	0	0	0	0		Myocardial
289	Optimization of ventricular assist device settings		indicated	indicated	not_indicated	0	0	0	0		Myocardial
290	Re-evaluation for signs/symptoms suggestive of ventricular assist device-related complications		indicated	indicated	not_indicated	0	0	0	0		Myocardial
291	Monitoring for rejection in a cardiac transplant recipient		indicated	indicated	not_indicated	0	0	0	0		Myocardial
292	Cardiac structure and function evaluation in a potential heart donor		indicated	indicated	not_indicated	0	0	0	0		Myocardial
293	Routine surveillance (lessThan1 y) of known cardiomyopathy without a change in clinical status or cardiac exam or change in therapy		not_indicated	not_indicated	not_indicated	0	0	0	0		Myocardial
294	Initial evaluation of known or suspected adult congenital heart disease		indicated	indicated	not_indicated	0	0	0	0	ACHD	ACHD
295	Known adult congenital heart disease with a change in clinical status or cardiac exam		indicated	indicated	not_indicated	0	0	0	0		ACHD
296	Re-evaluation to guide therapy in known adult congenital heart disease		indicated	indicated	not_indicated	0	0	0	0		ACHD
297	Routine surveillance (lessThan2 y) of adult congenital heart disease following complete repair with no residual significant defect and no change in clinical status		can_be_considered	not_indicated	not_indicated	0	0	0	0		ACHD
298	Routine surveillance (gtorequal 1y) of adult congenital heart disease following complete repair with residual signficant defect or change in clinical status		indicated	indicated	not_indicated	0	0	0	0		ACHD
299	Unchanged murmur in an asymptomatic individual with previous normal echocardiogram		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
300	"Periodic repeat assessment of asymptomatic individual with haemodynamically-insignificant lesions, eg mitral annular calcification"		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
301	Chest pain with haemodynamic instability		indicated	indicated	not_indicated	0	0	0	0		Coronary
302	New murmur following acute or recent myocardial infarction		indicated	indicated	indicated	0	0	0	0		Coronary ; Valve
303	"Assessment of infarct size, presence of complications and baseline LV function following MI"		indicated	indicated	not_indicated	0	0	0	0		Coronary ; Myocardial
304	Evaluation of non-cardiac chest pain		not_indicated	not_indicated	not_indicated	0	0	0	0		Coronary
305	Minor radiographic cardiomegaly in the absence of symptoms or signs of heart failure		not_indicated	not_indicated	not_indicated	0	0	0	0		Myocardial
306	"Assessment of patients with oedema, normal venous pressure and no evidence of cardiac disease"	Referral based on BNP pathway	not_indicated	not_indicated	not_indicated	0	0	0	0		Myocardial ; Valve
307	Repeat assessment of small pericardial effusion without clinical change.	Consider changing to trivial rather than small.	can_be_considered	can_be_considered	not_indicated	0	0	0	0		Pericardial
308	Lung disease with no clinical suspicion of cardiac involvement		can_be_considered	not_indicated	not_indicated	0	0	0	0		General
309	Lung disease with clinical suspicion of cardiac involvement (cor pulmonale)		indicated	indicated	not_indicated	0	0	0	0		General
310	Suspected or established pulmonary hypertension		indicated	indicated	not_indicated	0	0	0	0		General
311	Evaluation of clinically suspected aortic coarctation		indicated	indicated	not_indicated	0	0	0	0		ACHD ; Arterial
312	Routine assessment in hypertension		not_indicated	not_indicated	not_indicated	0	0	0	0		Arterial
313	Repeat assessment for LV mass regression with treated HTN		not_indicated	not_indicated	not_indicated	0	0	0	0		Arterial ; Myocardial
314	Sustained or paroxysmal AF or atrial flutter without change in clinical status		not_indicated	not_indicated	not_indicated						Arrhythmia
315	Sustained or paroxysmal SVT - new onset or change in clinical status		indicated	indicated	indicated						Arrhythmia
316	Any indication where echocardiography will not change management		not_indicated	not_indicated	not_indicated						General
317	Routine surveillance (lessThan 6 months) of severe valvular stenosis or regurgitation without red flag symptoms	"RED FLAGS: Breathlessness; chest pain, palpitations or heart failure signs require urgent cardiology review. Presyncope; syncope: consider in-patient admission; New LV dysfunction (LVEF lessThan55% without other cause); Reducing LV ejection fraction"	not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
318	Routine surveillance (gtorequal 6 months) of severe valvular stenosis or regurgitation without red flag symptoms	"RED FLAGS: Breathlessness; chest pain, palpitations or heart failure signs require urgent cardiology review; Presyncope; syncope: consider in-patient admission; New LV dysfunction (LVEF lessThan55% without other cause); Reducing LV ejection fraction"	indicated	indicated	not_indicated	0	0	0	0		Valve
319	Re-evaluation of severe valvular stenosis or regurgitation (lessThan 6 months) where red flag symptoms are present	"RED FLAGS: Breathlessness; chest pain, palpitations or heart failure signs require urgent cardiology review; Presyncope; syncope: consider in-patient admission; New LV dysfunction (LVEF lessThan55% without other cause); Reducing LV ejection fraction"	indicated	indicated	can_be_considered	0	0	0	0		Valve
321	Surveillance (lessThan 3 years) of bicuspid aortic valve with no stenosis and no more than mild regurgitation		not_indicated	not_indicated	not_indicated						Valve
322	Surveillance (gtorequal3 years) of bicuspid aortic valve with no stenosis and no more than mild regurgitation		indicated	indicated	indicated						Valve
323	Surveillance (lessThan 2 years) of bicuspid aortic valve with valve thickening and mild stenosis		not_indicated	not_indicated	not_indicated						Valve
324	Surveillance (gtorequal 2 years) of bicuspid aortic valve with early degenerative and mild stenosis		indicated	indicated	not_indicated						Valve
325	Bicuspid valve with signficant stenosis or regurgitation (lessThan 6 months) and no red flag signs		indicated	indicated	indicated	0	0	0	0		Valve
326	Bisucpid valve with aortopathy (gtorequal 12 months)		indicated	indicated	not_indicated						Valve ; Arterial
327	Annual surveillance of bioprosthetic valve replacement from year 5 onwards (excludes TAVI)		indicated	indicated	not_indicated	0	0	0	0		Valve
328	"Routine surveillance of mechanical valve replacement, normal postoperative scan and no change in clinical status lessThan 10 years since implant."		not_indicated	not_indicated	not_indicated						Valve
329	Annual surveillance of TAVI valve if clinically appropriate		indicated	indicated	not_indicated						Valve
330	LBBB with previous satisfactory ECHO and no change in clinical status or where device therapy is not being considered.		can_be_considered	not_indicated	not_indicated	0	0	0	0		Arrhythmia
331	LBBB with previous ECHO and change in clinical status or where device therapy is being considered		indicated	indicated	not_indicated						Arrhythmia
332	Routine surveillance in patient-prosthesis mismatch and no change in clinical status lessThan 1 year		not_indicated	not_indicated	not_indicated						Valve
334	Shortness of breath with normal NT-proBNP		not_indicated	not_indicated	not_indicated						Myocardial
335	P-wave abnormalities excepting bifid p-waves		not_indicated	not_indicated	not_indicated						Arrhythmia
336	Bifid p-wave suggestive of mitral stenosis		indicated	indicated	indicated						Arrhythmia
337	Left atrial thrombus		indicated	not_indicated	not_indicated	0	0	0	0		Arrhythmia
